Transmiter,Date,Time (UT),Class,Ix[W/m2],Delta Amp [dB],Delta Phase [deg],Beta,Reflection height,Electron density
DHO,03 Nov 2008,11:20,B8,8E-7,1.5,7.5,0.332,71.75,456126459.818322
DHO,27 Oct 2009,10:21,C1.4,1.4E-6,1.32,4,0.332,72.2,392827307.914126
DHO,10 Dec 2009,10:57,C3.4,3.4E-6,1.3,0,0.34,72.1,412307774.203069
DHO,16 Dec 2009,13:02,C3.7,3.7E-6,3.6,17,0.429,68.65,2145054191.68144
DHO,06 Feb 2010,10:48,C1.0,1E-6,1.4,2,0.342,71.95,435663473.361085
DHO,08 Feb 2010,09:58,C2.8,2.8E-6,3.8,13,0.446,68.2,2871443360.008
DHO,05 May 2010,11:52,C8.8,8.8E-6,3.46,40,0.441,66.2,6738348169.96951
DHO,08 May 2010,11:50,C1.8,1.8E-6,1.44,11,0.323,71.7,454260169.841879
DHO,13 July 2010,10:51,C2.6,2.6E-6,1.7,18,0.323,71.35,508629622.866985
DHO,18 Oct 2010,11:50,C1.2,1.2E-6,0.7,0,0.323,72.8,318419627.182071
DHO,03 Mar 2011,14:20,C5.4,5.4E-6,5.1,27,0.593,65.9,26345956672.4674
DHO,05 Mar 2011,09:08,C2.2,2.2E-6,1.2,4,0.328,72.35,371285049.552688
DHO,06 Mar 2011,10:10,C3.1,3.1E-6,2.27,8,0.354,70.8,670866456.282251
DHO,06 Mar 2011,12:09,C5.1,5.1E-6,4,26,0.461,67.25,4853814138.77061
DHO,07 Mar 2011,10:21,C4.9,4.9E-6,3.3,14,0.409,69.15,1570925311.68243
DHO,09 Mar 2011,08:55,C9.4,9.4E-6,4.1,20,0.467,67.7,4096425713.3017
DHO,09 Mar 2011,11:07,M1.7,1.7E-5,4.22,42,0.512,65,21671863715.3024
DHO,11 Mar 2011,11:15,C2.0,2E-6,0.5,7,0.3,73.25,270634741.720942
DHO,11 Mar 2011,11:47,C3.6,3.6E-6,2.7,22,0.362,69.15,1250714285.17084
DHO,12 Mar 2011,10:29,C2.2,2.2E-6,2,10,0.345,71.15,577680007.560218
DHO,12 Mar 2011,13:00,C7.0,7E-6,4.8,27,0.545,66.2,15165374202.6213
DHO,21 Mar 2011,10:01,C2.0,2E-6,1.7,7,0.34,71.6,488710405
DHO,21 Mar 2011,11:47,C2.6,2.6E-6,1.88,14,0.333,71.2,549039339.301999
DHO,24 Mar 2011,12:07,M1.0,1E-5,3.3,54,0.444,64.6,14035850637.0802
DHO,12 April 2011,12:32,C1.8,1.8E-6,1.7,11,0.332,71.5,495600468.577705
DHO,21 April 2011,09:48,C8.5,8.5E-6,4.24,42,0.51,65.2,19221218830.8507
DHO,21 April 2011,14:51,C4.9,4.9E-6,3.4,21.6,0.407,68.6,1946075569.48149
DHO,22 April 2011,09:46,C2.6,2.6E-6,2,6,0.357,71.15,597778387.159046
DHO,22 April 2011,11:25,C7.7,7.7E-6,2.52,28,0.35,69.35,1100225123.12146
DHO,22 April 2011,12:36,C3.0,3E-6,1.4,10,0.324,71.95,419880478.269851
DHO,28 April 2011,12:00,C3.4,3.4E-6,1.6,12,0.327,71.6,473698050.870825
DHO,28 May 2011,09:01,C7.7,7.7E-6,2.66,21,0.359,69.75,993784214.667698
DHO,28 May 2011,10:30,C5.3,5.3E-6,2.7,34,0.36,68.5,1565201885.90103
DHO,29 May 2011,10:33,M1.4,1.4E-5,2,36,0.322,69.5,920364783.471987
DHO,30 May 2011,11:01,C2.8,2.8E-6,1.7,10,0.336,71.5,500581336.093903
DHO,14 June 2011,11:29,C2.2,2.2E-6,2,16,0.338,70.9,616199081.28812
DHO,01 Aug 2011,12:40,C2,2E-6,0.8,9,0.304,72.9,301922419.478794
DHO,03 Aug 2011,13:48,M6.0,6E-5,2,56,0.338,66.7,2548270302.45142
DHO,21 Oct 2011,13:00,M1.1,1.1E-5,4.6,20,0.504,67.3,6326928037.63799
DHO,03 Nov 2011,10:11,C3.3,3.3E-6,3,21,0.382,69.2,1352040342.42589
DHO,14 Jan 2012,12:09,C4.1,4.1E-6,3.45,8,0.427,69.3,1607877226.6371
DHO,16 Jan 2012,10:38,C5.5,5.5E-6,5.2,8.5,0.577,67.5,9193666437.28632
DHO,04 Mar 2012,10:52,M2.0,2E-5,2,34,0.42,67.2,3758480736.28087
DHO,05 Mar 2012,12:13,C5.8,5.8E-6,2.5,48,0.356,67.1,2520392935.7376
DHO,06 Mar 2012,10:45,C2.0,2E-6,1.7,15,0.326,71.4,504400247.730759
DHO,06 Mar 2012,11:17,C2.8,2.8E-6,2.32,22,0.343,70.1,823423043.907845
DHO,06 Mar 2012,12:41,M2.1,2.1E-5,3.35,50,0.437,65.1,10562550949.0251
DHO,08 Mar 2012,10:23,C1.7,1.7E-6,1,9,0.313,72.5,345595872.973203
DHO,21 Mar 2012,12:52,C2.9,2.9E-6,2.5,15,0.362,70.1,886756208.669613
DHO,29 Mar 2012 ,09:53,C7.7,7.7E-6,4.68,33,0.541,65.7,19265478513.2853
DHO,29 Mar 2012,13:21,C5.0,5E-6,4.1,23,0.467,67.4,4712482391.65349
DHO,18 Apr 2012,12:39,C8.9,8.9E-6,2.6,32,0.353,68.1,1734492418.20544
DHO,19 Apr 2012,11:26,C7.0,7E-6,2.1,23,0.333,70.4,716637472.251171
DHO,27 Apr 2012,08:24,M1.0,1E-5,4.5,25,0.509,66.75,8656104687.54242
DHO,30 Apr 2012,10:26,C5.6,5.6E-6,2.4,25,0.348,69.75,948394064.019855
DHO,30 Apr 2012,10:41,C6.0,6E-6,3,30,0.379,68.4,1804736894.33364
DHO,02 May 2012,11:39,C3.2,3.2E-6,2,13.5,0.342,71,602911304.321072
DHO,05 May 2012,08:38,C2.1,2.1E-6,1,5,0.319,72.6,337771656.680453
DHO,05 May 2012,09:35,C6.8,6.8E-6,3.24,30,0.394,68.05,2253117507.82392
DHO,05 May 2012,13:23,M1.4,1.4E-5,3.45,26,0.406,68.2,2276899880.61306
DHO,29 June 2012 ,09:20,M2.2,2.2E-5,3,40,0.381,67.3,2775177797.30824
DHO,30 June 2012,08:30,C4.4,4.4E-6,2.18,11,0.352,70.85,654957334.424291
DHO,30 June 2012,10:57,C2.76,2.76E-6,1.4,13,0.319,71.85,429070008.345306
DHO,30 June 2012,12:51,C9.03,9.03E-6,2.6,25,0.355,69.4,1106293032.75393
DHO,04 July 2012,09:06,C6.7,6.7E-6,1.7,17,0.399,69.5,1301496578.09486
DHO,04 July 2012,09:55,M5.3,5.3E-5,2.1,50,0.439,65.7,8262397637.10155
DHO,04 July 2012,11:17,C5.8,5.8E-6,1.7,16,0.405,69.9,1137138269.28901
DHO,04 July 2012,12:24,M2.3,2.3E-5,2,40,0.414,67.15,3683689443.98804
DHO,04 July 2012,14:40,M1.3,1.3E-5,2.3,20,0.438,68.7,2202107411.66006
DHO,05 July 2012,10:48,M1.8,1.8E-5,2.1,38,0.419,67.3,3579828220.81207
DHO,05 July 2012,11:44,M6.1,6.1E-5,2,65,0.497,63.2,46321898370.6847
DHO,05 July 2012,14:45,C8.3,8.3E-6,1.8,13,0.412,69.55,1351769961.39641
DHO,06 July 2012,08:28,M1.0,1E-5,2,33,0.412,67.9,2667695033.53421
DHO,06 July 2012,09:18,C3.8,3.8E-6,1.9,5,0.436,69.75,1378526005.32561
DHO,07 July 2012,08:28,M1.0,1E-5,3,30,0.501,66.8,7966257556.80135
DHO,07 July 2012,10:44,C6.4,6.4E-6,1.5,22,0.385,69.8,1088733197.51996
DHO,07 July 2012,11:03,M2.6,3E-6,1.5,45,0.375,67.5,2473204841.40682
DHO,07 July 2012,14:46,C3.0,3E-6,1,6,0.384,70.8,738462332.482209
DHO,08 July 2012,09:53,M1.1,1.1E-5,2,42,0.408,67.1,3608220867.04384
DHO,08 July 2012,10:30,C6.9,6.9E-6,1.5,13,0.318,69.9,795976844.207868
DHO,08 July 2012,12:10,M1.4,1.4E-5,2,35,0.408,67.8,2711805952.95512
DHO,09 July 2012,09:32,C6.5,6.5E-6,1,13,0.373,70.5,797331155.681612
DHO,10 July 2012,08:34,C4.5,4.5E-6,2.5,10,0.468,68.8,2463578126.82064
