"Height","a1","a2","a3"
50, 10.3249, 0.97123, 0.06168
51, 10.84938, 1.10778, 0.07203
52, 11.37386, 1.24433, 0.08237
53, 11.89835, 1.38089, 0.09272
54, 12.42283, 1.51744, 0.10306
55, 12.94731, 1.65399, 0.11341
56, 13.47179, 1.79054, 0.12375
57, 13.99627, 1.92709, 0.1341
58, 14.52076, 2.06364, 0.14444
59, 15.04524, 2.20019, 0.15479
60, 15.56972, 2.33674, 0.16513
61, 16.0942, 2.4733, 0.17548
62, 16.61868, 2.60985, 0.18582
63, 17.14317, 2.7464, 0.19617
64, 17.66765, 2.88295, 0.20651
65, 18.19213, 3.0195, 0.21686
66, 18.71661, 3.15605, 0.2272
67, 19.2411, 3.2926, 0.23755
68, 19.76558, 3.42915, 0.24789
69, 20.29006, 3.56571, 0.25824
70, 20.81454, 3.70226, 0.26858
71, 21.33902, 3.83881, 0.27893
72, 21.86351, 3.97536, 0.28927
73, 22.38799, 4.11191, 0.29962
74, 22.91247, 4.24846, 0.30996
75, 23.43695, 4.38501, 0.32031
76, 23.96143, 4.52156, 0.33065
77, 24.48592, 4.65812, 0.341
78, 25.0104, 4.79467, 0.35134
79, 25.53488, 4.93122, 0.36169
80, 26.05936, 5.06777, 0.37203
81, 26.58384, 5.20432, 0.38238
82, 27.10833, 5.34087, 0.39272
83, 27.63281, 5.47742, 0.40307
84, 28.15729, 5.61397, 0.41341
85, 28.68177, 5.75053, 0.42376
86, 29.20625, 5.88708, 0.4341
87, 29.73074, 6.02363, 0.44445
88, 30.25522, 6.16018, 0.45479
89, 30.7797, 6.29673, 0.46514
90, 31.30418, 6.43328, 0.47548
