Height(km),Electron Density(m^-3),Electron Density(m^-3) easyfit,Solar Flux(W*m^-2),Beta(km^-1),H'(km)
50,66359811.90573906,37694544.97459892,0.0002,0.5175819759685021,59.23656287570423
51,95839374.40329769,54610578.19089369,0.0002,0.5175819759685021,59.23656287570423
52,138414884.2836172,79093031.27630804,0.0002,0.5175819759685021,59.23656287570423
53,199904061.46252882,114580180.01141436,0.0002,0.5175819759685021,59.23656287570423
54,288709079.20084417,165947588.57174954,0.0002,0.5175819759685021,59.23656287570423
55,416964676.97142553,240419237.5155257,0.0002,0.5175819759685021,59.23656287570423
56,602196308.9042225,348201518.866403,0.0002,0.5175819759685021,59.23656287570423
57,869714905.0894817,504462549.82134676,0.0002,0.5175819759685021,59.23656287570423
58,1256075477.2993965,730634838.2020241,0.0002,0.5175819759685021,59.23656287570423
59,1814072169.4433658,1058518971.0476685,0.0002,0.5175819759685021,59.23656287570423
60,2619952300.1789765,1533063315.8833635,0.0002,0.5175819759685021,59.23656287570423
61,3783835158.729832,2220860968.7163124,0.0002,0.5175819759685021,59.23656287570423
62,5464759227.663018,3216494530.5102415,0.0002,0.5175819759685021,59.23656287570423
63,7892413956.625111,4660055475.4323635,0.0002,0.5175819759685021,59.23656287570423
64,11398525619.832104,6749203646.5777445,0.0002,0.5175819759685021,59.23656287570423
65,16462185969.972479,9778017315.663887,0.0002,0.5175819759685021,59.23656287570423
66,23775317611.11667,14161597532.71105,0.0002,0.5175819759685021,59.23656287570423
67,34337221590.16645,20517314578.71034,0.0002,0.5175819759685021,59.23656287570423
68,49591126638.86791,29715426158.047573,0.0002,0.5175819759685021,59.23656287570423
69,71621398803.46425,43047034939.42349,0.0002,0.5175819759685021,59.23656287570423
70,103438359122.58624,62345439173.24621,0.0002,0.5175819759685021,59.23656287570423
71,149389628193.85187,90323957567.61285,0.0002,0.5175819759685021,59.23656287570423
72,215754205704.76022,130820078014.8131,0.0002,0.5175819759685021,59.23656287570423
73,311600462777.02496,189527691717.22055,0.0002,0.5175819759685021,59.23656287570423
74,450025287273.9895,274494798357.87927,0.0002,0.5175819759685021,59.23656287570423
75,649943704772.2166,397678753220.602,0.0002,0.5175819759685021,59.23656287570423
76,938673517508.0226,575962004219.2755,0.0002,0.5175819759685021,59.23656287570423
77,1355668138642.3813,834382360345.1597,0.0002,0.5175819759685021,59.23656287570423
78,1957907694050.1746,1208444083717.5447,0.0002,0.5175819759685021,59.23656287570423
79,2827685057391.5454,1750752799049.5898,0.0002,0.5175819759685021,59.23656287570423
80,4083850739283.387,2535632298348.4263,0.0002,0.5175819759685021,59.23656287570423
81,5898053185643.755,3673538067262.086,0.0002,0.5175819759685021,59.23656287570423
82,8518193636721.078,5320543402782.952,0.0002,0.5175819759685021,59.23656287570423
83,12302300530163.133,7708222813447.308,0.0002,0.5175819759685021,59.23656287570423
84,17767452207474.17,11163894034185.527,0.0002,0.5175819759685021,59.23656287570423
85,25660432954867.203,16172493505345.828,0.0002,0.5175819759685021,59.23656287570423
86,37059777155570.09,23422779560453.438,0.0002,0.5175819759685021,59.23656287570423
87,53523145351294.9,33934909916735.402,0.0002,0.5175819759685021,59.23656287570423
88,77300170377988.12,49148259921748.86,0.0002,0.5175819759685021,59.23656287570423
89,111639857882930.48,71204331905629.1,0.0002,0.5175819759685021,59.23656287570423
90,161234545890082.4,103125926093190.98,0.0002,0.5175819759685021,59.23656287570423
