Height(km),Electron Density(m^-3)
50,19728884.946846317
51,27660407.38540113
52,38780607.15482329
53,54371415.08228442
54,76230131.37076136
55,106876617.428648
56,149843784.17811328
57,210084864.18282238
58,294544417.71340126
59,412958898.0319327
60,578979064.6437676
61,811743635.7306699
62,1138085589.5966969
63,1595625456.4063022
64,2237108193.2722244
65,3136483595.390417
66,4397431189.845056
67,6165312357.393361
68,8643927516.593302
69,12119010129.716885
70,16991165907.192179
71,23822054424.87522
72,33399136946.894547
73,46826454549.30191
74,65651901399.25809
75,92045665186.96986
76,129050405230.26642
77,180932008653.17395
78,253671359627.73788
79,355653812580.6978
80,498635851476.5295
81,699100371154.6266
82,980156816846.0131
83,1374205228961.637
84,1926671302845.395
85,2701243039231.372
86,3787212663737.616
87,5309770188044.922
88,7444435249122.269
89,10437290921394.84
90,14633352045163.545
